008971cc-16f6-4f03-8ce6-666b7bc01962_1	008971cc-16f6-4f03-8ce6-666b7bc01962	M5	D18	6
008971cc-16f6-4f03-8ce6-666b7bc01962_2	008971cc-16f6-4f03-8ce6-666b7bc01962	M5	D18	131
13ba0d23-dce3-4454-80c1-3c9ca06506bb_1	13ba0d23-dce3-4454-80c1-3c9ca06506bb	M1	D15	174
b4bc5233-dce3-49c5-8616-a7fcd7e1a1a3_1	b4bc5233-dce3-49c5-8616-a7fcd7e1a1a3	M5	D18	7
b4bc5233-dce3-49c5-8616-a7fcd7e1a1a3_2	b4bc5233-dce3-49c5-8616-a7fcd7e1a1a3	M5	D18	42
b4bc5233-dce3-49c5-8616-a7fcd7e1a1a3_3	b4bc5233-dce3-49c5-8616-a7fcd7e1a1a3	M5	D18	4
0fee080e-e97a-4135-9c38-2f200b218fb9_1	0fee080e-e97a-4135-9c38-2f200b218fb9	M5	D18	7
0fee080e-e97a-4135-9c38-2f200b218fb9_2	0fee080e-e97a-4135-9c38-2f200b218fb9	M5	D18	42
0fee080e-e97a-4135-9c38-2f200b218fb9_3	0fee080e-e97a-4135-9c38-2f200b218fb9	M5	D18	4
7110ce2b-5ae7-4c22-b2f4-de20bd886942_1	7110ce2b-5ae7-4c22-b2f4-de20bd886942	M5	D18	7
7110ce2b-5ae7-4c22-b2f4-de20bd886942_2	7110ce2b-5ae7-4c22-b2f4-de20bd886942	M5	D18	42
7110ce2b-5ae7-4c22-b2f4-de20bd886942_3	7110ce2b-5ae7-4c22-b2f4-de20bd886942	M5	D18	4
873ad722-2bb0-4587-9c98-761a48d66be5_1	873ad722-2bb0-4587-9c98-761a48d66be5	M5	D18	1
873ad722-2bb0-4587-9c98-761a48d66be5_2	873ad722-2bb0-4587-9c98-761a48d66be5	M5	D18	7
873ad722-2bb0-4587-9c98-761a48d66be5_3	873ad722-2bb0-4587-9c98-761a48d66be5	M5	D18	42
873ad722-2bb0-4587-9c98-761a48d66be5_4	873ad722-2bb0-4587-9c98-761a48d66be5	M5	D18	4
717d18cd-c34d-4a23-9933-cca29af401b1_1	717d18cd-c34d-4a23-9933-cca29af401b1	M1	D6	1
717d18cd-c34d-4a23-9933-cca29af401b1_2	717d18cd-c34d-4a23-9933-cca29af401b1	M1	D6	95
839eb2c6-8150-49b5-8df6-537fc3835e2d_1	839eb2c6-8150-49b5-8df6-537fc3835e2d	M1	D15	180
839eb2c6-8150-49b5-8df6-537fc3835e2d_2	839eb2c6-8150-49b5-8df6-537fc3835e2d	M1	D15	1
95fb7a82-8e99-4ec2-b8a5-fe7a0b0aa2d5_1	95fb7a82-8e99-4ec2-b8a5-fe7a0b0aa2d5	M5	D15	107
